seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	313	564	rna-NR_073973.1	lncRNA:CR43995
ref::NT_037436.4	1012	2467	rna-NM_141122.4	CG7133
ref::NT_037436.4	3000	3700	rna-NM_141123.3	CG7130
ref::NT_037436.4	3811	5431	rna-NM_001275273.1	RpLP0
ref::NT_037436.4	4036	5431	rna-NM_079487.4	RpLP0
ref::NT_037436.4	8266	8498	rna-NM_001170024.2	Sfp79B
ref::NT_037436.4	10664	11311	rna-NM_001275274.1	msopa
ref::NT_037436.4	10752	11128	rna-NM_080120.3	msopa
qry::NC_052522.2	0	549	rna-XM_039293917.2	LOC120284800
qry::NC_052522.2	1362	2930	rna-XM_016169085.3	LOC6739095
qry::NC_052522.2	1362	2931	rna-XM_016169086.3	LOC6739095
qry::NC_052522.2	3000	4207	rna-XM_016169084.3	LOC27206205
qry::NC_052522.2	4346	5857	rna-XM_039293918.2	LOC6739097
qry::NC_052522.2	8793	8952	rna-XM_039293920.2	LOC120284801
qry::NC_052522.2	11235	11601	rna-XM_039293919.2	LOC27207855
qry::NC_052522.2	12139	12983	rna-XR_005544049.1	LOC120284803
