seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	3000	4173	rna-NM_001299692.1	CG44569
ref::NT_033778.4	20200	20600	rna-NR_124632.1	lncRNA:CR44570
ref::NT_033778.4	20700	21200	rna-NR_124633.1	lncRNA:CR44571
ref::NT_033778.4	25222	29219	rna-NM_001202051.1	Obp56i
ref::NT_033778.4	28593	29219	rna-NM_166376.2	Obp56i
ref::NT_033778.4	29250	30000	rna-NR_124634.1	lncRNA:CR44460
ref::NT_033778.4	39341	41425	rna-NM_137605.3	CG13872
qry::NC_052521.2	3000	3471	rna-XM_039291672.1	LOC27208614
qry::NC_052521.2	24889	28796	rna-XM_016168530.3	LOC6735320
qry::NC_052521.2	28252	28796	rna-XM_002082235.4	LOC6735320
qry::NC_052521.2	38928	40964	rna-XM_016181511.3	LOC27206604
qry::NC_052521.2	43463	60474	rna-XR_006541581.1	LOC123327112
