seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	2750	3504	rna-NR_124630.1	asRNA:CR44509
ref::NT_033778.4	3000	3587	rna-NM_001299691.1	Obp56e
ref::NT_033778.4	3000	3587	rna-NM_137601.4	Obp56e
ref::NT_033778.4	4050	4631	rna-NM_166375.3	Obp56f
ref::NT_033778.4	4731	5523	rna-NM_137602.4	CG8517
ref::NT_033778.4	6220	6293	rna-Dmel_CR30215	tRNA:Ile-AAT-1-9
qry::NC_052528.2	1229	1302	rna-Trnai-aau-11	Trnai-aau
qry::NC_052528.2	3000	3572	rna-XM_002091708.4	LOC6530892
qry::NC_052528.2	3555	4370	rna-XM_002091709.4	LOC6530893
qry::NC_052528.2	4617	5101	rna-XM_015197377.2	LOC26535038
qry::NC_052528.2	5227	5822	rna-XM_002091710.3	LOC6530894
