seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	3000	51921	rna-NM_001259651.3	Mrtf
ref::NT_037436.4	4800	47555	rna-NM_001144407.4	Mrtf
ref::NT_037436.4	5074	20065	rna-NM_001144406.3	Mrtf
ref::NT_037436.4	25135	25613	rna-NM_079168.3	Acp62F
ref::NT_037436.4	52384	53777	rna-NM_139488.4	Non2
ref::NT_037436.4	53851	57710	rna-NM_139489.2	AhcyL1
ref::NT_037436.4	57945	59392	rna-NM_139490.2	CG12093
ref::NT_037436.4	59723	66062	rna-NM_001274412.1	Atg2
ref::NT_037436.4	59723	66062	rna-NM_139491.2	Atg2
qry::NC_052529.2	0	2609	rna-XM_039373540.1	LOC6533472
qry::NC_052529.2	0	2619	rna-XM_002094147.3	LOC6533472
qry::NC_052529.2	3000	4477	rna-XM_002094148.4	LOC6533473
qry::NC_052529.2	4745	8707	rna-XM_002094149.4	LOC6533474
qry::NC_052529.2	4745	8707	rna-XM_015194559.3	LOC6533474
qry::NC_052529.2	8772	10180	rna-XM_002094150.3	LOC6533475
qry::NC_052529.2	14935	55299	rna-XM_015194561.3	LOC6533477
qry::NC_052529.2	17347	22951	rna-XR_005560988.1	LOC120321391
qry::NC_052529.2	17347	22951	rna-XR_005560989.1	LOC120321391
qry::NC_052529.2	33098	33612	rna-XM_002094151.4	LOC6533476
