seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	474	rna-NR_073998.1	lncRNA:CR44135
ref::NT_033777.3	870	2686	rna-NM_141881.2	CG18547
ref::NT_033777.3	3000	4358	rna-NM_141882.3	CG12224
ref::NT_033777.3	5394	6837	rna-NM_141883.2	CG3397
ref::NT_033777.3	7158	12298	rna-NM_001260137.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_079600.3	mfas
ref::NT_033777.3	7158	15611	rna-NM_169444.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176466.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176467.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176468.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176469.2	mfas
ref::NT_033777.3	7158	15611	rna-NM_176470.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176471.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176472.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176473.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176474.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176475.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176476.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176477.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176478.1	mfas
ref::NT_033777.3	16471	27729	rna-NM_141884.4	Tk
ref::NT_033777.3	16471	27769	rna-NM_001275564.2	Tk
qry::NC_052530.2	690	2542	rna-XM_002097277.4	LOC6536741
qry::NC_052530.2	3000	4450	rna-XM_002097278.4	LOC6536742
qry::NC_052530.2	4824	13589	rna-XM_015192435.2	LOC6536743
qry::NC_052530.2	4824	13589	rna-XM_015192436.2	LOC6536743
qry::NC_052530.2	4824	13589	rna-XM_015192437.2	LOC6536743
qry::NC_052530.2	4824	13589	rna-XM_015192441.2	LOC6536743
qry::NC_052530.2	4824	13590	rna-XM_015192443.2	LOC6536743
qry::NC_052530.2	4824	13593	rna-XM_015192438.2	LOC6536743
qry::NC_052530.2	4824	13593	rna-XM_015192439.2	LOC6536743
qry::NC_052530.2	4824	13593	rna-XM_015192440.2	LOC6536743
qry::NC_052530.2	4824	13593	rna-XM_015192444.2	LOC6536743
qry::NC_052530.2	14455	26217	rna-XM_002097280.4	LOC6536744
qry::NC_052530.2	14455	26217	rna-XM_015192445.3	LOC6536744
