seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	2387	rna-NM_079456.4	alphaSnap
ref::NT_037436.4	944	3093	rna-NR_073957.1	asRNA:CR43875
ref::NT_037436.4	3000	5757	rna-NM_140948.4	Spn77Ba
ref::NT_037436.4	3000	5757	rna-NM_168844.3	Spn77Ba
ref::NT_037436.4	3000	5926	rna-NM_001300199.1	Spn77Ba
ref::NT_037436.4	6762	8168	rna-NM_140949.2	Spn77Bb
ref::NT_037436.4	8187	9019	gene-Dmel_CR6434	CR6434
ref::NT_037436.4	28444	30129	rna-NM_001275174.1	Spn77Bc
ref::NT_037436.4	28444	30129	rna-NM_140950.2	Spn77Bc
ref::NT_037436.4	31133	31844	gene-Dmel_CR45385	CR45385
ref::NT_037436.4	31546	33752	rna-NM_140952.3	Rbbp5
ref::NT_037436.4	34165	38070	rna-NM_001275175.1	eRF1
ref::NT_037436.4	34165	38937	rna-NM_140953.3	eRF1
ref::NT_037436.4	34165	38937	rna-NM_168845.2	eRF1
ref::NT_037436.4	34165	38937	rna-NM_168846.2	eRF1
ref::NT_037436.4	34165	38937	rna-NM_168847.2	eRF1
ref::NT_037436.4	34165	38937	rna-NM_168848.2	eRF1
ref::NT_037436.4	34165	39683	rna-NM_001275176.1	eRF1
ref::NT_037436.4	34747	38937	rna-NM_176369.3	eRF1
qry::NC_052529.2	0	2620	rna-XM_015195360.2	LOC6534808
qry::NC_052529.2	0	2621	rna-XM_039373784.1	LOC6534808
qry::NC_052529.2	3000	4949	rna-XM_002095445.3	LOC6534809
qry::NC_052529.2	5754	7694	rna-XM_002095451.3	LOC6534815
qry::NC_052529.2	7775	8340	rna-XR_006245177.1	LOC122319570
qry::NC_052529.2	8242	11094	rna-XM_002095452.4	LOC6534816
qry::NC_052529.2	11807	14719	rna-XM_039373785.2	LOC6534817
