seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	3000	70001	rna-NM_001103703.2	Fas3
ref::NT_033779.5	3000	72146	rna-NM_001169534.3	Fas3
ref::NT_033779.5	3000	73608	rna-NM_001103704.3	Fas3
ref::NT_033779.5	3000	75809	rna-NM_001299110.1	Fas3
ref::NT_033779.5	3000	76339	rna-NM_001299109.1	Fas3
ref::NT_033779.5	3000	76339	rna-NM_165249.4	Fas3
ref::NT_033779.5	3000	76339	rna-NM_165250.4	Fas3
ref::NT_033779.5	38945	41926	rna-NM_001299111.2	Acp36DE
ref::NT_033779.5	39023	41926	rna-NM_078870.4	Acp36DE
ref::NT_033779.5	61489	62807	rna-NM_001103705.3	CG34171
ref::NT_033779.5	61489	62807	rna-NM_001299112.1	CG34171
qry::NC_052520.2	3000	70561	rna-XM_016180330.3	LOC6732668
qry::NC_052520.2	3000	73308	rna-XM_016180329.3	LOC6732668
qry::NC_052520.2	3000	75814	rna-XM_016180328.3	LOC6732668
qry::NC_052520.2	3000	75814	rna-XM_016180332.3	LOC6732668
qry::NC_052520.2	3000	76811	rna-XM_016180331.3	LOC6732668
qry::NC_052520.2	38980	42057	rna-XM_016178150.3	LOC6732669
qry::NC_052520.2	60404	62001	rna-XR_001600090.3	LOC27206668
qry::NC_052520.2	60404	62001	rna-XR_006541503.1	LOC27206668
qry::NC_052520.2	62073	64040	rna-XM_016184874.3	LOC27209443
