seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	1739	rna-NM_001259020.2	tai
ref::NT_033779.5	0	1739	rna-NM_001201819.2	tai
ref::NT_033779.5	1576	2570	rna-NM_001298846.1	aust
ref::NT_033779.5	1616	2570	rna-NM_135434.2	aust
ref::NT_033779.5	2666	2987	gene-Dmel_CR43734	CR43734
ref::NT_033779.5	3000	4646	rna-NM_135435.5	borr
ref::NT_033779.5	3000	4646	rna-NM_164850.4	borr
ref::NT_033779.5	5604	6382	rna-NM_144378.4	lectin-30A
ref::NT_033779.5	8091	43326	rna-NM_001201820.2	Ggamma30A
ref::NT_033779.5	8091	43326	rna-NM_164851.3	Ggamma30A
ref::NT_033779.5	8091	44792	rna-NM_001298847.1	Ggamma30A
ref::NT_033779.5	8091	44792	rna-NM_080068.4	Ggamma30A
ref::NT_033779.5	8091	47049	rna-NM_001169447.2	Ggamma30A
ref::NT_033779.5	8091	54022	rna-NM_164852.3	Ggamma30A
ref::NT_033779.5	8468	43326	rna-NM_001259021.2	Ggamma30A
ref::NT_033779.5	13348	14332	rna-NR_124159.1	lncRNA:CR45262
ref::NT_033779.5	24030	43326	rna-NM_001169446.3	Ggamma30A
qry::NC_052527.2	0	2449	rna-XM_002088873.4	LOC6527837
qry::NC_052527.2	2450	2949	rna-XM_015199172.3	LOC26535741
qry::NC_052527.2	3000	4764	rna-XM_002088874.4	LOC6527838
qry::NC_052527.2	6484	7330	rna-XM_002088875.4	LOC6527839
qry::NC_052527.2	9159	43991	rna-XM_015199149.3	LOC6527840
qry::NC_052527.2	9592	43991	rna-XM_015199150.3	LOC6527840
qry::NC_052527.2	44144	44546	rna-XM_043206884.1	LOC120320430
