seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	26760	rna-NM_001103605.2	Drgx
ref::NT_033779.5	0	27137	rna-NM_001298663.1	Drgx
ref::NT_033779.5	3000	3574	rna-NM_001169388.2	Sfp24Ba
ref::NT_033779.5	3714	4157	rna-NM_001169389.1	Sfp24Bd
ref::NT_033779.5	4284	4798	rna-NM_001169390.1	Sfp24Bb
ref::NT_033779.5	5154	5604	rna-NM_001169391.1	Sfp24Bc
ref::NT_033779.5	27146	27610	rna-NM_001298664.1	CG16704
ref::NT_033779.5	27161	27610	rna-NM_134953.4	CG16704
ref::NT_033779.5	27722	28205	rna-NM_134954.2	CG3513
ref::NT_033779.5	28207	28928	rna-NM_001258928.2	Acp24A4
ref::NT_033779.5	28502	28912	rna-NM_001042865.1	Acp24A4
ref::NT_033779.5	29128	29441	gene-Dmel_CR43364	CR43364
ref::NT_033779.5	29454	30043	rna-NM_001258929.2	CG43165
ref::NT_033779.5	30055	30434	rna-NM_134955.3	CG16713
qry::NC_052520.2	0	32709	rna-XM_016179487.3	LOC6730896
qry::NC_052520.2	3000	3610	rna-XM_016184778.3	LOC27209340
qry::NC_052520.2	3779	4200	rna-XM_016179050.3	LOC6730895
qry::NC_052520.2	4326	4856	rna-XM_016184246.3	LOC27208683
qry::NC_052520.2	5212	5646	rna-XM_016184612.3	LOC27209118
qry::NC_052520.2	31140	31635	rna-XM_002078025.4	LOC6730897
qry::NC_052520.2	31730	32264	rna-XM_002078026.4	LOC6730898
qry::NC_052520.2	32512	32964	rna-XM_016179049.3	LOC6730899
qry::NC_052520.2	33788	34254	rna-XM_016183983.3	LOC27208402
qry::NC_052520.2	34393	34810	rna-XM_002078028.4	LOC6730900
