seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	614	1519	rna-NM_001258748.2	CG43075
ref::NC_004354.4	3000	3925	rna-NM_001258749.2	CG43076
ref::NC_004354.4	5856	6599	rna-NR_123911.1	lncRNA:CR44430
ref::NC_004354.4	9087	10218	rna-NM_132783.3	CG9101
ref::NC_004354.4	24202	25256	rna-NM_132784.2	PPYR1
ref::NC_004354.4	51379	52748	rna-NM_132785.2	CG9106
ref::NC_004354.4	51379	52748	rna-NM_167433.2	CG9106
qry::NC_052525.2	3000	3827	rna-XM_016172562.3	LOC6725999
qry::NC_052525.2	25485	26659	rna-XM_039297293.2	LOC6726000
qry::NC_052525.2	40716	41782	rna-XM_002106948.4	LOC6726002
qry::NC_052525.2	67506	68871	rna-XM_016182457.3	LOC27206654
