seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	3000	3564	rna-NM_134272.1	Acp26Ab
ref::NT_033779.5	3051	3564	rna-NM_057297.3	Acp26Ab
ref::NT_033779.5	3096	3564	rna-NM_001298717.1	Acp26Ab
ref::NT_033779.5	3585	4598	rna-NM_057296.2	Acp26Aa
ref::NT_033779.5	10651	11082	rna-NR_124107.1	lncRNA:CR44579
ref::NT_033779.5	13880	15391	rna-NM_001298718.1	CG9021
ref::NT_033779.5	14061	15391	rna-NM_135123.3	CG9021
ref::NT_033779.5	15660	16952	rna-NR_073727.1	lncRNA:CR43808
ref::NT_033779.5	15660	16952	rna-NR_073728.1	lncRNA:CR43808
ref::NT_033779.5	17871	33478	rna-NM_135124.2	bchs
qry::NC_052527.2	0	375	rna-XM_002089129.4	LOC6528098
qry::NC_052527.2	3000	4350	rna-XM_002089131.4	LOC6528100
qry::NC_052527.2	9704	13852	rna-XR_005560154.2	LOC120320625
qry::NC_052527.2	13942	14894	rna-XM_002089132.4	LOC6528101
qry::NC_052527.2	14941	15474	rna-XM_002089133.4	LOC6528102
