seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	816	rna-NM_142738.3	dnd
ref::NT_033777.3	490	20643	rna-NM_142739.3	CG6678
ref::NT_033777.3	3000	3632	rna-NM_001316611.1	CG43844
ref::NT_033777.3	3000	3632	rna-NM_001316612.1	CG43844
ref::NT_033777.3	3000	3632	rna-NM_001316613.1	CG43844
ref::NT_033777.3	25277	27052	rna-NM_142740.2	Qsox3
ref::NT_033777.3	27208	29007	rna-NM_142741.4	Qsox2
ref::NT_033777.3	62575	120264	rna-NM_001104395.2	Eip93F
ref::NT_033777.3	85840	128000	rna-NM_001275888.1	Eip93F
ref::NT_033777.3	85840	128000	rna-NM_143745.3	Eip93F
ref::NT_033777.3	128158	129673	rna-NM_142742.3	Theg
ref::NT_033777.3	129852	132645	rna-NM_142743.3	Idh3b
ref::NT_033777.3	130286	132843	rna-NM_001170211.1	Idh3b
qry::NC_052523.2	0	1156	rna-XM_002104312.4	LOC6729027
qry::NC_052523.2	1174	2333	rna-XM_016177233.2	LOC6729028
qry::NC_052523.2	1174	2933	rna-XM_002104313.4	LOC6729028
qry::NC_052523.2	3000	3727	rna-XM_016177235.3	LOC6729029
qry::NC_052523.2	25304	27102	rna-XM_002104315.4	LOC6729030
qry::NC_052523.2	27259	29062	rna-XM_002104316.4	LOC6729031
qry::NC_052523.2	61974	63087	rna-XM_044923431.1	LOC123327316
qry::NC_052523.2	63005	120046	rna-XM_016177236.3	LOC6729034
