seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	3000	3516	rna-NM_001043293.3	BG642167
ref::NT_033777.3	4599	5234	rna-NR_125254.1	lncRNA:CR45652
ref::NT_033777.3	7651	8293	rna-NM_001170265.1	CG5024
ref::NT_033777.3	7651	8330	rna-NM_143174.2	CG5024
ref::NT_033777.3	8466	9689	rna-NM_001170266.1	Acam
ref::NT_033777.3	8466	9689	rna-NM_143175.2	CG17770
ref::NT_033777.3	9094	9689	rna-NM_057640.3	Acam
qry::NC_052523.2	3000	3546	rna-XM_016182923.3	LOC27207188
qry::NC_052523.2	3016	3546	rna-XM_039294887.1	LOC27207188
qry::NC_052523.2	7585	8437	rna-XM_002104935.4	LOC6729665
qry::NC_052523.2	8548	9050	rna-XM_002104936.4	LOC6729666
qry::NC_052523.2	9191	9694	rna-XM_039294912.2	LOC27206484
