seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	0	1003	rna-NM_167166.4	Ppt1
ref::NC_004354.4	0	1184	rna-NM_001298095.2	Ppt1
ref::NC_004354.4	1284	2768	rna-NM_132271.5	Ogg1
ref::NC_004354.4	2777	4577	rna-NM_001272423.2	CG11294
ref::NC_004354.4	3000	4577	rna-NM_132272.3	CG11294
ref::NC_004354.4	18170	18963	rna-NR_123837.1	lncRNA:CR44507
ref::NC_004354.4	18931	19141	rna-NR_123838.2	lncRNA:CR44508
ref::NC_004354.4	20609	23435	rna-NM_080342.4	Hexo2
ref::NC_004354.4	23429	25130	rna-NM_001272428.1	CG2004
ref::NC_004354.4	23429	25620	rna-NM_001272425.1	CG2004
ref::NC_004354.4	23429	25620	rna-NM_001272426.1	CG2004
ref::NC_004354.4	23429	25620	rna-NM_132273.2	CG2004
ref::NC_004354.4	23429	25881	rna-NM_001272424.2	CG2004
ref::NC_004354.4	25893	28022	rna-NM_132274.3	CG1785
ref::NC_004354.4	27670	31234	rna-NM_001298096.1	l(1)G0020
ref::NC_004354.4	27670	31234	rna-NM_132275.2	l(1)G0020
qry::NC_052525.2	0	1401	rna-XM_002106452.4	LOC6725472
qry::NC_052525.2	1505	3070	rna-XM_002106453.4	LOC6725473
qry::NC_052525.2	3000	5021	rna-XM_016172843.3	LOC6725474
qry::NC_052525.2	17953	20778	rna-XM_016173636.3	LOC6725475
qry::NC_052525.2	20794	22787	rna-XM_016172842.3	LOC6725476
qry::NC_052525.2	20794	23055	rna-XM_016172841.2	LOC6725476
qry::NC_052525.2	20794	23056	rna-XM_016172840.2	LOC6725476
qry::NC_052525.2	23316	25199	rna-XM_002106457.4	LOC6725477
qry::NC_052525.2	25104	28685	rna-XM_016172838.3	LOC6725478
qry::NC_052525.2	25268	28686	rna-XM_016172839.3	LOC6725478
