seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	2913	rna-NM_079538.3	alpha-Est6
ref::NT_033777.3	505	2204	gene-Dmel_CR31511	alpha-Est4aPsi
ref::NT_033777.3	3000	4019	rna-NM_079539.2	Rtnl2
ref::NT_033777.3	3000	4377	rna-NM_001260035.1	Rtnl2
ref::NT_033777.3	4889	6868	rna-NM_079540.6	alphaTub84D
ref::NT_033777.3	7632	10526	rna-NM_001260036.2	alpha-Est5
ref::NT_033777.3	8365	10526	rna-NM_079541.4	alpha-Est5
ref::NT_033777.3	10823	12751	rna-NM_079542.4	alpha-Est4
ref::NT_033777.3	11978	15415	rna-NR_133355.1	asRNA:CR46128
ref::NT_033777.3	13108	15358	rna-NM_001300281.1	alpha-Est3
ref::NT_033777.3	13108	15466	rna-NM_001170069.1	alpha-Est3
ref::NT_033777.3	13108	15466	rna-NM_001275415.2	alpha-Est3
ref::NT_033777.3	13108	15767	rna-NM_079543.3	alpha-Est3
ref::NT_033777.3	14746	15126	rna-NR_133356.1	asRNA:CR46128
qry::NC_052523.2	0	2991	rna-XM_002102457.4	LOC6727100
qry::NC_052523.2	195	2448	rna-XM_002102458.4	LOC6727101
qry::NC_052523.2	3000	4471	rna-XM_016175845.3	LOC6727102
qry::NC_052523.2	4904	6908	rna-XM_002102460.3	LOC6727103
qry::NC_052523.2	8783	11004	rna-XM_002102461.4	LOC6727104
qry::NC_052523.2	11200	13402	rna-XM_016175844.3	LOC6727105
qry::NC_052523.2	11201	13402	rna-XM_002102462.4	LOC6727105
qry::NC_052523.2	13551	24271	rna-XM_039295449.2	LOC6727106
