seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	28329	rna-NM_001274314.1	mwh
ref::NT_037436.4	0	28329	rna-NM_001274315.1	mwh
ref::NT_037436.4	0	424	rna-NM_138237.4	CG9119
ref::NT_037436.4	3000	3485	rna-NM_079158.3	LysB
ref::NT_037436.4	3000	3610	rna-NM_001274316.1	LysB
ref::NT_037436.4	4049	28329	rna-NM_138238.3	mwh
ref::NT_037436.4	6114	6355	gene-Dmel_CR9111	LysC
ref::NT_037436.4	6346	6825	rna-NM_057475.3	LysD
ref::NT_037436.4	8456	9035	rna-NM_057479.3	LysE
ref::NT_037436.4	13711	14325	rna-NM_057480.5	LysP
ref::NT_037436.4	23376	23867	rna-NM_057481.4	LysS
ref::NT_037436.4	28511	29644	rna-NM_001038894.2	CG33965
ref::NT_037436.4	29759	31049	rna-NM_001038895.3	CG33966
ref::NT_037436.4	31101	31331	rna-NR_124751.1	lncRNA:CR45747
qry::NC_052529.2	0	17577	rna-XM_015193795.3	LOC6532326
qry::NC_052529.2	0	17577	rna-XM_015193796.2	LOC6532326
qry::NC_052529.2	1677	2155	rna-XM_002093045.3	LOC6532321
qry::NC_052529.2	1677	5691	rna-XM_002093047.3	LOC6532323
qry::NC_052529.2	3000	3478	rna-XM_002093046.3	LOC6532322
qry::NC_052529.2	8299	17577	rna-XM_002093050.4	LOC6532326
qry::NC_052529.2	10639	11176	rna-XM_002093048.4	LOC6532324
qry::NC_052529.2	12591	13107	rna-XM_002093049.4	LOC6532325
qry::NC_052529.2	17752	20310	rna-XM_043207015.1	LOC6532328
qry::NC_052529.2	20553	26652	rna-XM_002093053.4	LOC6532329
