seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	272	rna-NM_136140.3	CG13082
ref::NT_033779.5	1139	1958	rna-NM_136141.2	CG13081
ref::NT_033779.5	1139	2072	rna-NM_001299158.1	CG13081
ref::NT_033779.5	3000	5990	rna-NM_057352.4	ref(2)P
ref::NT_033779.5	3000	6080	rna-NM_001014491.2	ref(2)P
ref::NT_033779.5	5908	7491	rna-NM_136142.3	CG10337
ref::NT_033779.5	9039	16983	rna-NM_001273660.1	Tep4
ref::NT_033779.5	9039	16983	rna-NM_001273662.1	Tep4
ref::NT_033779.5	10225	16983	rna-NM_001273661.1	Tep4
ref::NT_033779.5	10225	16983	rna-NM_078879.3	Tep4
ref::NT_033779.5	18087	18737	gene-Dmel_CR46413	CR46413
ref::NT_033779.5	19448	23581	gene-Dmel_CR13079	Tep5Psi
qry::NC_052520.2	0	771	rna-XM_002079913.4	LOC6732836
qry::NC_052520.2	1631	2438	rna-XM_002079914.4	LOC6732837
qry::NC_052520.2	1631	2438	rna-XM_039298351.2	LOC6732837
qry::NC_052520.2	3000	6102	rna-XM_002079915.4	LOC6732838
qry::NC_052520.2	6003	7547	rna-XM_002079916.4	LOC6732839
qry::NC_052520.2	7745	8178	rna-XR_005545067.2	LOC120285785
qry::NC_052520.2	9159	17184	rna-XM_016180402.1	LOC6732840
qry::NC_052520.2	10404	17184	rna-XM_016180400.3	LOC6732840
qry::NC_052520.2	10404	17184	rna-XM_016180401.3	LOC6732840
qry::NC_052520.2	19928	25073	rna-XM_039298358.2	LOC6732842
