seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	194	rna-NM_169585.2	CG8087
ref::NT_033777.3	1316	1902	rna-NM_142116.2	CG14852
ref::NT_033777.3	1821	2818	rna-NM_169586.2	CG31313
ref::NT_033777.3	1969	2818	rna-NM_001275639.1	CG31313
ref::NT_033777.3	2133	2818	rna-NM_001275638.1	CG31313
ref::NT_033777.3	3000	4236	rna-NM_142117.2	CG8066
ref::NT_033777.3	3470	4236	rna-NM_001275640.1	CG8066
ref::NT_033777.3	4351	5260	rna-NR_074015.1	asRNA:CR44095
ref::NT_033777.3	4492	5033	rna-NM_057508.4	Cys
ref::NT_033777.3	5861	11276	rna-NM_142118.2	CG7987
ref::NT_033777.3	5861	11276	rna-NM_169587.2	CG7987
ref::NT_033777.3	11720	12000	rna-NM_001275641.1	CG44094
ref::NT_033777.3	12606	43468	rna-NM_001104322.2	stumps
qry::NC_052523.2	0	2543	rna-XM_016175310.3	LOC6728079
qry::NC_052523.2	3000	3359	rna-XM_016184230.3	LOC27208664
qry::NC_052523.2	3729	9181	rna-XM_039294516.1	LOC6728080
qry::NC_052523.2	3730	9181	rna-XM_039294517.2	LOC6728080
qry::NC_052523.2	9874	10443	rna-XM_002103397.4	LOC6728081
qry::NC_052523.2	10671	11997	rna-XM_002103398.4	LOC6728082
qry::NC_052523.2	12126	12973	rna-XM_002103399.4	LOC6728083
qry::NC_052523.2	13100	13783	rna-XM_016183020.3	LOC27207299
qry::NC_052523.2	13897	15179	rna-XM_002076584.4	LOC6739727
