seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	523	rna-NM_169377.2	RpL3
ref::NT_033777.3	0	2424	rna-NM_079592.3	RpL3
ref::NT_033777.3	0	2424	rna-NM_169380.2	RpL3
ref::NT_033777.3	0	2653	rna-NM_169378.2	RpL3
ref::NT_033777.3	0	509	rna-NR_037759.1	asRNA:CR31144
ref::NT_033777.3	321	404	rna-NR_003893.1	snoRNA:Me18S-A425
ref::NT_033777.3	1051	1270	rna-NR_002496.2	snoRNA:Psi28S-291
ref::NT_033777.3	1788	1880	rna-NR_003894.1	snoRNA:Me28S-G2017
ref::NT_033777.3	3000	3962	rna-NM_141796.2	scpr-C
ref::NT_033777.3	3000	4161	rna-NM_001300353.1	scpr-C
ref::NT_033777.3	4242	5707	rna-NM_141797.4	CG17726
ref::NT_033777.3	5638	8080	rna-NM_141798.3	GCC88
ref::NT_033777.3	8097	9359	rna-NM_141799.2	CG17187
ref::NT_033777.3	9392	10019	rna-NM_141800.2	Dph3
ref::NT_033777.3	9909	12493	rna-NM_141801.3	Arfip
qry::NC_052523.2	8	850	rna-XM_016183764.3	LOC27208152
qry::NC_052523.2	1089	1703	rna-XM_016182605.3	LOC27206801
qry::NC_052523.2	1855	2856	rna-XM_039294920.2	LOC6728539
qry::NC_052523.2	3000	3978	rna-XM_039294921.2	LOC120284980
qry::NC_052523.2	3901	5578	rna-XM_016176989.2	LOC6728548
qry::NC_052523.2	3901	6312	rna-XM_002103857.4	LOC6728548
qry::NC_052523.2	5011	6315	rna-XR_001599937.3	LOC6728548
qry::NC_052523.2	6498	7713	rna-XM_002103856.4	LOC6728547
qry::NC_052523.2	6498	7717	rna-XM_039294918.2	LOC6728547
qry::NC_052523.2	7733	8600	rna-XM_002103855.4	LOC6728546
qry::NC_052523.2	8788	11374	rna-XM_002103854.4	LOC6728545
qry::NC_052523.2	11270	11815	rna-XM_002103853.4	LOC6728544
qry::NC_052523.2	11910	13111	rna-XM_044923207.1	LOC6728543
qry::NC_052523.2	13198	15642	rna-XM_002103851.4	LOC6728542
qry::NC_052523.2	15568	17062	rna-XM_002103850.4	LOC6728541
qry::NC_052523.2	17326	18320	rna-XM_002103858.3	LOC6728549
qry::NC_052523.2	18916	22052	rna-XM_002103859.3	LOC6728550
