seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	3000	34033	rna-NM_001316497.1	foxo
ref::NT_033777.3	3000	34033	rna-NM_142073.5	foxo
ref::NT_033777.3	3000	34033	rna-NM_206482.3	foxo
ref::NT_033777.3	3000	34033	rna-NM_206483.3	foxo
ref::NT_033777.3	3974	34033	rna-NM_001275628.1	foxo
ref::NT_033777.3	35572	38480	rna-NM_142074.4	Npc2b
ref::NT_033777.3	36817	38480	rna-NM_169568.3	Npc2b
ref::NT_033777.3	38559	42890	rna-NM_001104314.2	CCHa1
ref::NT_033777.3	43348	44135	rna-NM_142076.3	CG9920
ref::NT_033777.3	45198	45770	rna-NR_190040.1	lncRNA:CR46531
ref::NT_033777.3	45887	49177	rna-NM_001260160.1	PK1-R
ref::NT_033777.3	46513	48892	rna-NM_001014620.2	PK1-R
qry::NC_052530.2	0	1496	rna-XM_039375609.2	LOC6537359
qry::NC_052530.2	0	1496	rna-XM_002097880.4	LOC6537359
qry::NC_052530.2	3000	3872	rna-XM_002097881.4	LOC6537360
qry::NC_052530.2	3958	9838	rna-XM_015192806.2	LOC6537361
qry::NC_052530.2	4152	9838	rna-XM_002097882.3	LOC6537361
qry::NC_052530.2	9636	11328	rna-XM_002097883.3	LOC6537362
qry::NC_052530.2	9636	11663	rna-XM_015192807.2	LOC6537362
qry::NC_052530.2	9636	12493	rna-XM_015192808.2	LOC6537362
qry::NC_052530.2	14199	46172	rna-XM_015192810.3	LOC6537363
qry::NC_052530.2	14199	46172	rna-XM_039376885.2	LOC6537363
qry::NC_052530.2	14199	46173	rna-XM_039376886.2	LOC6537363
qry::NC_052530.2	14199	46196	rna-XM_015192809.2	LOC6537363
