seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	2913	rna-NM_079538.3	alpha-Est6
ref::NT_033777.3	505	2204	gene-Dmel_CR31511	alpha-Est4aPsi
ref::NT_033777.3	3000	4019	rna-NM_079539.2	Rtnl2
ref::NT_033777.3	3000	4377	rna-NM_001260035.1	Rtnl2
ref::NT_033777.3	4889	6868	rna-NM_079540.6	alphaTub84D
ref::NT_033777.3	7632	10526	rna-NM_001260036.2	alpha-Est5
ref::NT_033777.3	8365	10526	rna-NM_079541.4	alpha-Est5
ref::NT_033777.3	10823	12751	rna-NM_079542.4	alpha-Est4
ref::NT_033777.3	11978	15415	rna-NR_133355.1	asRNA:CR46128
ref::NT_033777.3	13108	15358	rna-NM_001300281.1	alpha-Est3
ref::NT_033777.3	13108	15466	rna-NM_001170069.1	alpha-Est3
ref::NT_033777.3	13108	15466	rna-NM_001275415.2	alpha-Est3
ref::NT_033777.3	13108	15767	rna-NM_079543.3	alpha-Est3
ref::NT_033777.3	14746	15126	rna-NR_133356.1	asRNA:CR46128
qry::NC_052530.2	0	2592	rna-XM_039376254.2	LOC26536093
qry::NC_052530.2	3000	5076	rna-XM_039375041.2	LOC26536333
qry::NC_052530.2	6603	12380	rna-XM_002096606.3	LOC6536027
qry::NC_052530.2	12928	14873	rna-XM_002096607.4	LOC6536028
qry::NC_052530.2	15652	16746	rna-XM_002096608.3	LOC6536029
qry::NC_052530.2	16785	21212	rna-XM_002096609.4	LOC6536030
qry::NC_052530.2	17273	19362	rna-XM_002096610.3	LOC6536031
qry::NC_052530.2	17764	21213	rna-XM_015192042.3	LOC6536030
qry::NC_052530.2	18780	21213	rna-XM_039375039.2	LOC6536030
qry::NC_052530.2	22104	26475	rna-XM_039375038.2	LOC6536032
qry::NC_052530.2	30707	31374	rna-XM_002096612.4	LOC6536033
qry::NC_052530.2	32443	35464	rna-XM_002096613.3	LOC6536034
qry::NC_052530.2	37890	44433	rna-XM_002096614.4	LOC6536035
