seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	3000	5502	rna-NM_170346.2	CG31055
ref::NT_033777.3	3000	5502	rna-NM_170347.2	CG31055
ref::NT_033777.3	3000	5502	rna-NM_170348.2	CG31055
ref::NT_033777.3	3330	10158	rna-NM_143323.4	CG12880
ref::NT_033777.3	11686	11909	rna-NM_001260411.1	CG43319
ref::NT_033777.3	12251	12425	rna-NM_001276097.2	Acp98AB
ref::NT_033777.3	12603	13899	rna-NM_143324.3	HSPBAP1
ref::NT_033777.3	13834	17478	rna-NM_143325.4	ALiX
ref::NT_033777.3	17729	20546	rna-NM_001276098.1	btz
ref::NT_033777.3	17732	20546	rna-NM_079810.5	btz
ref::NT_033777.3	17732	20813	rna-NM_001276099.1	btz
ref::NT_033777.3	17793	20813	rna-NM_170350.2	btz
ref::NT_033777.3	20747	23696	rna-NM_001347745.1	CROT
ref::NT_033777.3	20747	23696	rna-NM_170353.3	CROT
ref::NT_033777.3	20747	23696	rna-NM_170354.3	CROT
ref::NT_033777.3	20747	23772	rna-NM_170351.2	CROT
ref::NT_033777.3	20747	24119	rna-NM_001347746.1	CROT
ref::NT_033777.3	20747	24119	rna-NM_170352.3	CROT
qry::NC_052530.2	0	3065	rna-XM_015193223.3	LOC6538231
qry::NC_052530.2	0	3065	rna-XM_015193224.3	LOC6538231
qry::NC_052530.2	0	3065	rna-XM_002098722.3	LOC6538231
qry::NC_052530.2	3000	6118	rna-XM_002098723.3	LOC6538232
qry::NC_052530.2	6354	10026	rna-XM_002098724.3	LOC6538233
qry::NC_052530.2	9953	11421	rna-XM_002098725.3	LOC6538234
qry::NC_052530.2	13476	20850	rna-XM_002098726.4	LOC6538235
qry::NC_052530.2	18318	20311	rna-XM_002098727.3	LOC6538236
