seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	983	2395	rna-NM_139753.2	CG10477
ref::NT_037436.4	1305	2395	rna-NM_001316456.1	CG10477
ref::NT_037436.4	3000	3959	rna-NM_079220.2	yip7
ref::NT_037436.4	4274	4699	rna-NR_124806.1	lncRNA:CR43952
ref::NT_037436.4	4895	5972	rna-NM_139754.2	CG6462
ref::NT_037436.4	6939	7919	rna-NM_139755.3	Jon65Aiv
ref::NT_037436.4	18541	19474	rna-NM_139756.3	Jon65Aiii
ref::NT_037436.4	20105	20999	rna-NM_139757.2	Jon65Aii
ref::NT_037436.4	21277	22227	rna-NM_001300022.1	Jon65Ai
ref::NT_037436.4	21368	22227	rna-NM_139758.2	Jon65Ai
ref::NT_037436.4	22920	24623	rna-NM_080043.3	tant
ref::NT_037436.4	22920	24786	rna-NM_001274531.1	tant
qry::NC_052522.2	357	1252	rna-XM_016170924.2	LOC6736951
qry::NC_052522.2	1307	2440	rna-XM_002083763.4	LOC6736952
qry::NC_052522.2	3000	3986	rna-XM_002083764.4	LOC6736953
qry::NC_052522.2	4087	6137	rna-XM_016170925.3	LOC6736954
qry::NC_052522.2	6949	8077	rna-XM_002083766.4	LOC6736955
qry::NC_052522.2	16135	17092	rna-XM_002083767.4	LOC6736956
qry::NC_052522.2	17649	18546	rna-XM_016170926.3	LOC6736957
qry::NC_052522.2	18751	19612	rna-XM_016182997.3	LOC27207276
qry::NC_052522.2	20096	22025	rna-XM_016170927.3	LOC6736958
qry::NC_052522.2	20096	22025	rna-XM_016170928.3	LOC6736958
