seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	1560	rna-NM_057939.4	Nup154
ref::NT_033779.5	0	1868	rna-NM_057940.4	Nup154
ref::NT_033779.5	0	2609	rna-NM_001298898.1	Nup154
ref::NT_033779.5	1509	2774	rna-NM_135634.2	Art8
ref::NT_033779.5	2850	3823	rna-NR_133078.1	asRNA:CR45778
ref::NT_033779.5	3000	3823	rna-NM_001273441.2	dUTPase
ref::NT_033779.5	3000	3823	rna-NM_001273442.2	dUTPase
ref::NT_033779.5	3000	3823	rna-NM_135635.4	dUTPase
ref::NT_033779.5	3000	3823	rna-NM_164956.3	dUTPase
ref::NT_033779.5	4894	49152	rna-NM_001273443.3	Samuel
ref::NT_033779.5	4894	58686	rna-NM_080362.4	Samuel
ref::NT_033779.5	7308	8259	rna-NM_001298900.1	Acp32CD
ref::NT_033779.5	7308	8259	rna-NM_057980.5	Acp32CD
ref::NT_033779.5	8683	10466	rna-NM_001103676.3	CG14913
ref::NT_033779.5	20472	49152	rna-NM_001273444.3	Samuel
ref::NT_033779.5	20472	58686	rna-NM_001298899.1	Samuel
ref::NT_033779.5	26483	26996	rna-NM_144308.3	CG18666
qry::NC_052527.2	0	1486	rna-XM_002088282.4	LOC6527224
qry::NC_052527.2	1485	2774	rna-XM_002088283.3	LOC6527225
qry::NC_052527.2	2905	3830	rna-XM_015198150.3	LOC6527226
qry::NC_052527.2	3000	3830	rna-XM_002088284.4	LOC6527226
qry::NC_052527.2	4860	51089	rna-XM_015197686.3	LOC6527227
qry::NC_052527.2	4860	51089	rna-XM_039371020.2	LOC6527227
qry::NC_052527.2	4860	61314	rna-XM_002088285.3	LOC6527227
qry::NC_052527.2	4860	61314	rna-XM_015197687.2	LOC6527227
qry::NC_052527.2	7305	8262	rna-XM_002088286.4	LOC6527228
qry::NC_052527.2	7306	8262	rna-XM_015198151.3	LOC6527228
qry::NC_052527.2	8302	10636	rna-XM_039371021.1	LOC6527229
qry::NC_052527.2	26982	27835	rna-XM_002088288.3	LOC6527230
qry::NC_052527.2	51266	54931	rna-XR_005560198.1	LOC120320672
