seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	44	2699	rna-NM_001104417.2	prt
ref::NT_033777.3	3000	4026	rna-NM_001275950.1	CG31468
ref::NT_033777.3	3520	4026	rna-NM_170083.3	CG31468
ref::NT_033777.3	4293	6277	rna-NM_142915.3	Gba1a
ref::NT_033777.3	6433	8214	rna-NM_170084.3	Qsox4
ref::NT_033777.3	8476	11879	rna-NM_001104418.2	Gba1b
ref::NT_033777.3	8476	12184	rna-NM_001275951.1	Gba1b
ref::NT_033777.3	10033	10818	rna-NR_074055.1	asRNA:CR44052
ref::NT_033777.3	13830	15010	rna-NM_142916.3	CG10301
qry::NC_052530.2	0	2044	rna-XM_002098421.3	LOC6537917
qry::NC_052530.2	3000	3462	rna-XM_002098422.4	LOC6537918
qry::NC_052530.2	3507	5672	rna-XM_002098423.3	LOC6537919
qry::NC_052530.2	5796	7677	rna-XM_002098424.4	LOC6537920
qry::NC_052530.2	7834	11424	rna-XM_002098425.4	LOC6537921
qry::NC_052530.2	12441	17930	rna-XM_039375249.2	LOC120321717
