seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	2530	rna-NM_206111.3	Cpsf160
ref::NT_033778.4	0	2530	rna-NM_166056.3	Cpsf160
ref::NT_033778.4	3000	11535	rna-NM_001274041.1	Asx
ref::NT_033778.4	3000	11535	rna-NM_166057.2	Asx
ref::NT_033778.4	3269	11535	rna-NM_001274040.1	Asx
ref::NT_033778.4	4127	9742	rna-NM_001014527.2	Asx
ref::NT_033778.4	11601	14253	rna-NM_137124.3	Cpr51A
ref::NT_033778.4	13072	14034	rna-NM_166058.2	CG30197
ref::NT_033778.4	25309	86959	rna-NM_001274042.1	ttv
ref::NT_033778.4	25618	84363	rna-NM_001369957.1	ttv
ref::NT_033778.4	25618	84363	rna-NM_057883.3	ttv
ref::NT_033778.4	43192	45414	rna-NM_166059.2	CG30076
ref::NT_033778.4	52807	53351	rna-NM_001274044.1	CG43919
ref::NT_033778.4	62923	84363	rna-NM_001274043.1	ttv
ref::NT_033778.4	69852	74813	rna-NM_001274045.1	LamC
ref::NT_033778.4	69852	74813	rna-NM_079018.3	LamC
qry::NC_052521.2	0	2580	rna-XM_016182009.3	LOC6734490
qry::NC_052521.2	3000	10192	rna-XM_039292572.2	LOC6734491
qry::NC_052521.2	3000	10192	rna-XM_044922696.1	LOC6734491
qry::NC_052521.2	3001	11566	rna-XM_039292568.2	LOC6734491
qry::NC_052521.2	3001	11566	rna-XM_039292571.2	LOC6734491
qry::NC_052521.2	3656	11566	rna-XM_039292569.2	LOC6734491
qry::NC_052521.2	3795	11566	rna-XM_039292570.2	LOC6734491
qry::NC_052521.2	11628	14519	rna-XM_002081475.3	LOC6734492
qry::NC_052521.2	13036	14105	rna-XM_002081476.4	LOC6734493
qry::NC_052521.2	25453	95469	rna-XM_002081477.3	LOC6734494
qry::NC_052521.2	46910	49139	rna-XM_039292751.2	LOC6734495
qry::NC_052521.2	56358	57018	rna-XM_016183735.3	LOC27208111
qry::NC_052521.2	56358	57027	rna-XM_016183736.3	LOC27208111
qry::NC_052521.2	80699	85707	rna-XM_016182006.3	LOC6734496
qry::NC_052521.2	80699	85707	rna-XM_016182007.3	LOC6734496
