seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	3000	5196	rna-NM_001038886.3	CG34038
ref::NT_033778.4	3000	5196	rna-NM_001259590.1	CG34038
ref::NT_033778.4	7586	8036	rna-NM_001169830.1	Sfp60F
ref::NT_033778.4	7657	8029	rna-NM_001299949.1	Sfp60F
ref::NT_033778.4	8909	9571	rna-NM_001299950.1	EbpII
ref::NT_033778.4	9138	9571	rna-NM_079142.4	EbpII
ref::NT_033778.4	10467	12056	rna-NM_001274249.1	Ebp
ref::NT_033778.4	10794	12056	rna-NM_138151.3	Ebp
qry::NC_052521.2	2994	5498	rna-XM_016168957.3	LOC6736181
qry::NC_052521.2	3000	5498	rna-XM_016168956.3	LOC6736181
qry::NC_052521.2	7886	8289	rna-XM_016183361.3	LOC27207673
qry::NC_052521.2	9355	9823	rna-XM_002083041.4	LOC6736182
qry::NC_052521.2	10920	12468	rna-XM_016181164.3	LOC6736183
