seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	764	rna-NM_137307.4	CG15617
ref::NT_033778.4	2019	2775	rna-NM_001299572.1	Acp53C14a
ref::NT_033778.4	2245	2775	rna-NM_137308.3	Acp53C14a
ref::NT_033778.4	3000	3645	rna-NM_001299573.1	Acp53C14b
ref::NT_033778.4	3091	3645	rna-NM_137309.4	Acp53C14b
ref::NT_033778.4	3988	4520	rna-NM_057803.5	Acp53Ea
ref::NT_033778.4	4961	5680	rna-NM_001014532.3	Acp53C14c
ref::NT_033778.4	4961	5680	rna-NM_001202032.2	Acp53C14c
ref::NT_033778.4	5688	20185	rna-NM_001103876.3	unc-104
ref::NT_033778.4	5688	20185	rna-NM_001259444.2	unc-104
ref::NT_033778.4	5688	20185	rna-NM_001259445.2	unc-104
ref::NT_033778.4	5688	20185	rna-NM_137311.5	unc-104
ref::NT_033778.4	5688	20185	rna-NM_166190.4	unc-104
ref::NT_033778.4	5688	26685	rna-NM_001274104.2	unc-104
ref::NT_033778.4	5688	26685	rna-NM_001316424.1	unc-104
ref::NT_033778.4	5688	26856	rna-NM_166192.4	unc-104
ref::NT_033778.4	8629	9110	rna-NM_001103877.2	CG34189
ref::NT_033778.4	9258	10008	rna-NM_137310.3	CG5267
ref::NT_033778.4	19546	20185	rna-NM_001144209.2	CG42392
ref::NT_033778.4	20989	23423	rna-NM_001259446.2	CG5348
ref::NT_033778.4	20989	23423	rna-NM_137312.4	CG5348
qry::NC_052521.2	0	652	rna-XM_002081774.4	LOC6734807
qry::NC_052521.2	754	2298	rna-XR_001601048.3	LOC27208796
qry::NC_052521.2	2152	2708	rna-XM_002081775.3	LOC6734808
qry::NC_052521.2	3000	3620	rna-XM_002081776.4	LOC6734809
qry::NC_052521.2	3934	4513	rna-XM_002081777.3	LOC6734810
qry::NC_052521.2	4918	5579	rna-XM_039292877.1	LOC6734811
qry::NC_052521.2	4918	5611	rna-XM_016181790.2	LOC6734811
qry::NC_052521.2	4918	5643	rna-XM_016181791.2	LOC6734811
qry::NC_052521.2	5597	18322	rna-XM_016181775.2	LOC6734812
qry::NC_052521.2	5597	18322	rna-XM_016181776.3	LOC6734812
qry::NC_052521.2	5597	18322	rna-XM_016181777.3	LOC6734812
qry::NC_052521.2	5597	18322	rna-XM_016181778.3	LOC6734812
qry::NC_052521.2	5597	18322	rna-XM_016181779.3	LOC6734812
qry::NC_052521.2	5597	18322	rna-XM_016181780.3	LOC6734812
qry::NC_052521.2	5597	18322	rna-XM_016181782.3	LOC6734812
qry::NC_052521.2	5597	18322	rna-XM_016181784.3	LOC6734812
qry::NC_052521.2	5597	18322	rna-XM_016181785.3	LOC6734812
qry::NC_052521.2	5597	18322	rna-XM_016181786.3	LOC6734812
qry::NC_052521.2	5597	18322	rna-XM_016181787.3	LOC6734812
qry::NC_052521.2	5597	18322	rna-XM_016181788.3	LOC6734812
qry::NC_052521.2	5597	18322	rna-XM_016181789.3	LOC6734812
qry::NC_052521.2	5597	18322	rna-XM_039292874.2	LOC6734812
qry::NC_052521.2	5597	18393	rna-XM_039292875.2	LOC6734812
qry::NC_052521.2	5597	26557	rna-XM_016181781.3	LOC6734812
qry::NC_052521.2	5597	26557	rna-XM_016181783.3	LOC6734812
qry::NC_052521.2	8590	9066	rna-XM_016183958.3	LOC27208376
qry::NC_052521.2	9168	9920	rna-XM_016184056.2	LOC27208505
qry::NC_052521.2	18339	19888	rna-XM_016184372.2	LOC27208817
qry::NC_052521.2	18339	19888	rna-XM_044922738.1	LOC27208817
qry::NC_052521.2	20836	22474	rna-XM_016168247.3	LOC6734813
qry::NC_052521.2	20836	23178	rna-XM_044922735.1	LOC6734813
qry::NC_052521.2	20837	23177	rna-XM_002081780.4	LOC6734813
