seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	272	rna-NM_136140.3	CG13082
ref::NT_033779.5	1139	1958	rna-NM_136141.2	CG13081
ref::NT_033779.5	1139	2072	rna-NM_001299158.1	CG13081
ref::NT_033779.5	3000	5990	rna-NM_057352.4	ref(2)P
ref::NT_033779.5	3000	6080	rna-NM_001014491.2	ref(2)P
ref::NT_033779.5	5908	7491	rna-NM_136142.3	CG10337
ref::NT_033779.5	9039	16983	rna-NM_001273660.1	Tep4
ref::NT_033779.5	9039	16983	rna-NM_001273662.1	Tep4
ref::NT_033779.5	10225	16983	rna-NM_001273661.1	Tep4
ref::NT_033779.5	10225	16983	rna-NM_078879.3	Tep4
ref::NT_033779.5	18087	18737	gene-Dmel_CR46413	CR46413
ref::NT_033779.5	19448	23581	gene-Dmel_CR13079	Tep5Psi
qry::NC_052528.2	0	362	rna-XM_002090687.3	LOC6529730
qry::NC_052528.2	1249	2680	rna-XM_002090688.3	LOC6529731
qry::NC_052528.2	3000	6069	rna-XM_002090689.3	LOC6529732
qry::NC_052528.2	6116	7443	rna-XM_002090690.4	LOC6529733
qry::NC_052528.2	8985	16381	rna-XM_015196924.2	LOC6529734
qry::NC_052528.2	9818	16381	rna-XM_002090691.3	LOC6529734
qry::NC_052528.2	9818	16381	rna-XM_015196925.2	LOC6529734
qry::NC_052528.2	10399	11563	rna-XR_005560777.2	LOC120321187
qry::NC_052528.2	18373	23631	rna-XM_039373107.2	LOC6529735
