seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	3000	3575	rna-NR_124288.1	lncRNA:CR44865
ref::NT_033779.5	3000	4548	rna-NM_001299029.1	CG15255
ref::NT_033779.5	3561	4548	rna-NM_135911.3	CG15255
ref::NT_033779.5	5323	6164	rna-NM_135912.3	Semp1
ref::NT_033779.5	6734	7657	rna-NM_001299030.1	CG15254
ref::NT_033779.5	6777	7657	rna-NM_135913.4	CG15254
ref::NT_033779.5	8186	9180	rna-NM_135914.2	CG15253
ref::NT_033779.5	9826	10744	rna-NM_135915.2	CG11865
qry::NC_052520.2	3000	4005	rna-XM_002079522.4	LOC6732437
qry::NC_052520.2	4762	5630	rna-XM_002079523.3	LOC6732438
qry::NC_052520.2	6225	7152	rna-XM_002079524.3	LOC6732439
qry::NC_052520.2	7561	9466	rna-XM_016178234.3	LOC6732440
qry::NC_052520.2	7567	8771	rna-XM_002079525.4	LOC6732440
qry::NC_052520.2	9380	10226	rna-XM_002079526.3	LOC6732441
