seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	889	rna-NM_079044.2	Amy-d
ref::NT_033778.4	930	1543	rna-NM_137347.3	CG15605
ref::NT_033778.4	3000	4854	rna-NM_001299590.1	Cda9
ref::NT_033778.4	3331	4854	rna-NM_137348.4	Cda9
ref::NT_033778.4	5636	6072	rna-NM_001382129.1	CG45273
ref::NT_033778.4	7965	8270	rna-NM_001043089.3	Acp54A1
ref::NT_033778.4	8649	9372	rna-NM_137349.3	CG11400
ref::NT_033778.4	8649	9865	rna-NM_001299591.1	CG11400
ref::NT_033778.4	10115	10845	gene-Dmel_CR44391	CR44391
ref::NT_033778.4	10971	11423	rna-NM_137350.4	Gbp1
ref::NT_033778.4	11760	13351	rna-NM_137351.3	Gbp2
ref::NT_033778.4	11760	14115	rna-NM_001299592.1	Gbp2
qry::NC_052528.2	298	1868	rna-XM_002092430.3	LOC6531675
qry::NC_052528.2	298	1868	rna-XM_015195995.2	LOC6531675
qry::NC_052528.2	2189	2755	rna-XM_002092431.3	LOC6531676
qry::NC_052528.2	3000	3532	rna-XM_002092432.3	LOC6531677
qry::NC_052528.2	3621	6264	rna-XM_039372184.2	LOC120321012
qry::NC_052528.2	6134	6423	rna-XM_039372186.2	LOC120321013
qry::NC_052528.2	9046	11994	rna-XM_002092434.3	LOC6531679
qry::NC_052528.2	12304	12956	rna-XM_002092435.3	LOC6531680
qry::NC_052528.2	13018	14634	rna-XM_002092436.4	LOC6531681
